,event_id,matchday,date,home,score,away,home_score,away_score,home_win,away_win,tie,pred_home_win_prob,pred_away_win_prob,correct_pred,briar_score,briar_score_running_mean,running_briar_skill_score
0,0,1,2024-04-13,Atlético Ottawa,2–1,York United,2.0,1.0,1.0,0.0,0.0,0.6185607667774982,0.38143923322250184,1.0,0.14549588864137014,0.14549588864137014,0.41801644543451943
1,1,1,2024-04-13,Forge FC,2–1,Cavalry FC,2.0,1.0,1.0,0.0,0.0,0.5273545223179396,0.47264547768206044,1.0,0.2233937475733031,0.18444481810733662,0.2622207275706535
2,2,1,2024-04-13,Pacific FC,1–0,HFX Wanderers,1.0,0.0,1.0,0.0,0.0,0.5924362203729958,0.4075637796270042,1.0,0.16610823446384923,0.1783326235595075,0.28666950576197003
3,3,1,2024-04-14,Vancouver FC,4–1,Valour FC,4.0,1.0,1.0,0.0,0.0,0.5491453957033456,0.45085460429665436,1.0,0.20326987421549278,0.1845669362235038,0.26173225510598475
4,4,2,2024-04-18,Vancouver FC,2–0,HFX Wanderers,2.0,0.0,1.0,0.0,0.0,0.5146545330027317,0.4853454669972683,1.0,0.23556022233479648,0.19476559344576233,0.22093762621695068
5,5,2,2024-04-19,Pacific FC,2–0,Valour FC,2.0,0.0,1.0,0.0,0.0,0.6741979556247046,0.32580204437529536,1.0,0.10614697211912193,0.1799958232246556,0.2800167071013776
6,6,2,2024-04-20,Atlético Ottawa,1–1,Cavalry FC,1.0,1.0,0.0,0.0,1.0,0.5245109522364063,0.4754890477635937,2.0,0.04902190447281263,0.16128526340296376,0.35485894638814497
7,7,2,2024-04-21,York United,0–3,Forge FC,0.0,3.0,0.0,1.0,0.0,0.42215474971716105,0.577845250282839,1.0,0.1782146327087589,0.16340143456618816,0.34639426173524734
8,8,3,2024-04-26,York United,3–0,Vancouver FC,3.0,0.0,1.0,0.0,0.0,0.523641998080072,0.47635800191992805,1.0,0.22691694599314619,0.17045871361362794,0.31816514554548825
9,9,3,2024-04-27,HFX Wanderers,1–3,Atlético Ottawa,1.0,3.0,0.0,1.0,0.0,0.4870660821642451,0.5129339178357549,1.0,0.23723336839482714,0.17713617909174786,0.29145528363300854
10,10,3,2024-04-27,Forge FC,2–1,Valour FC,2.0,1.0,1.0,0.0,0.0,0.7161486010954474,0.2838513989045526,1.0,0.08057161666007143,0.16835758250705,0.32656966997180004
11,11,3,2024-04-28,Cavalry FC,0–0,Pacific FC,0.0,0.0,0.0,0.0,1.0,0.5720368673917706,0.4279631326082294,2.0,0.14407373478354124,0.16633392853009094,0.33466428587963626
12,12,4,2024-05-03,Cavalry FC,3–1,Vancouver FC,3.0,1.0,1.0,0.0,0.0,0.6627482254212357,0.3372517745787643,1.0,0.11373875945652566,0.16228814629366284,0.35084741482534865
13,13,4,2024-05-04,Pacific FC,2–0,York United,2.0,0.0,1.0,0.0,0.0,0.6662131077147397,0.33378689228526026,1.0,0.11141368946145194,0.1586542565199335,0.365382973920266
14,14,4,2024-05-05,Atlético Ottawa,2–0,Valour FC,2.0,0.0,1.0,0.0,0.0,0.6843643572481384,0.3156356427518616,1.0,0.09962585897538082,0.1547190300169633,0.3811238799321468
15,16,5,2024-05-10,York United,3–1,Valour FC,3.0,1.0,1.0,0.0,0.0,0.5990487937011071,0.4009512062988929,1.0,0.16076186983253737,0.1550967075054367,0.37961316997825323
16,17,5,2024-05-11,HFX Wanderers,1–1,Cavalry FC,1.0,1.0,0.0,0.0,1.0,0.42375490943373717,0.5762450905662628,2.0,0.15249018113252566,0.15494338242467723,0.3802264703012911
17,18,5,2024-05-11,Pacific FC,0–0,Forge FC,0.0,0.0,0.0,0.0,1.0,0.5349933870405043,0.46500661295949575,2.0,0.06998677408100851,0.15022357085002894,0.39910571659988425
18,19,5,2024-05-12,Vancouver FC,1–1,Atlético Ottawa,1.0,1.0,0.0,0.0,1.0,0.43265355867027117,0.5673464413297289,2.0,0.13469288265945767,0.14940616620841993,0.4023753351663203
19,20,6,2024-05-17,Pacific FC,0–1,Atlético Ottawa,0.0,1.0,0.0,1.0,0.0,0.5810998886222474,0.4189001113777526,0.0,0.3376770805567883,0.15881971192583835,0.3647211522966466
20,21,6,2024-05-18,Forge FC,1–2,Vancouver FC,1.0,2.0,0.0,1.0,0.0,0.7011030739503231,0.2988969260496769,0.0,0.49154552030259224,0.1746637980390171,0.3013448078439316
21,22,6,2024-05-18,Cavalry FC,2–2,York United,2.0,2.0,0.0,0.0,1.0,0.6503971983751469,0.34960280162485313,2.0,0.30079439675029374,0.18039700707134787,0.2784119717146085
22,23,6,2024-05-20,HFX Wanderers,1–2,Valour FC,1.0,2.0,0.0,1.0,0.0,0.633140397707874,0.366859602292126,0.0,0.40086676320968484,0.1899826486425799,0.24006940542968036
23,24,7,2024-05-24,York United,2–1,HFX Wanderers,2.0,1.0,1.0,0.0,0.0,0.5685871284230325,0.4314128715769675,1.0,0.18611706576228507,0.1898215826892343,0.2407136692430628
24,25,7,2024-05-25,Atlético Ottawa,3–0,Forge FC,3.0,0.0,1.0,0.0,0.0,0.5113495269781584,0.4886504730218416,1.0,0.23877928478446955,0.19177989077304372,0.23288043690782512
25,26,7,2024-05-25,Vancouver FC,2–1,Pacific FC,2.0,1.0,1.0,0.0,0.0,0.4710749161696983,0.5289250838303017,0.0,0.27976174430489165,0.1951638082165763,0.21934476713369477
26,27,7,2024-05-26,Cavalry FC,1–1,Valour FC,1.0,1.0,0.0,0.0,1.0,0.6824093822908068,0.31759061770919317,2.0,0.36481876458161366,0.2014473251189851,0.19421069952405956
27,28,8,2024-06-01,Forge FC,3–0,York United,3.0,0.0,1.0,0.0,0.0,0.644105810207001,0.355894189792999,1.0,0.1266606743284152,0.1987763733050362,0.2048945067798552
28,29,8,2024-06-01,Pacific FC,1–1,Cavalry FC,1.0,1.0,0.0,0.0,1.0,0.5650886899520908,0.43491131004790917,2.0,0.13017737990418166,0.19641089077397222,0.2143564369041111
