,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
0,Spring Season,Sat,2019-04-27,13:00,Forge FC,1–1,York9 FC,17611,Tim Hortons Field,Dave Gantar,Match Report,
1,Spring Season,Sun,2019-04-28,18:00,Pacific FC,1–0,HFX Wanderers,5100,Westhills Stadium,Alain Ruch,Match Report,
2,Spring Season,Wed,2019-05-01,22:00,Pacific FC,1–2,Valour FC,2360,Westhills Stadium,Juan Marquez,Match Report,
3,Spring Season,Sat,2019-05-04,13:30,Cavalry FC,2–1,York9 FC,,Spruce Meadows,Drew Fischer,Match Report,
4,Spring Season,Sat,2019-05-04,14:00,HFX Wanderers,2–1,Forge FC,6500,Wanderers Grounds,Marie-Soleil Beaudoin,Match Report,
5,Spring Season,Sat,2019-05-04,17:00,Valour FC,1–2,FC Edmonton,9699,IG Field,Pierre-Luc Lauziere,Match Report,
6,Spring Season,Wed,2019-05-08,19:00,Forge FC,3–0,Pacific FC,5861,Tim Hortons Field,Filip Dujic,Match Report,
7,Spring Season,Wed,2019-05-08,19:00,Cavalry FC,1–0,Valour FC,2055,Spruce Meadows,Fabrizio Stasolla,Match Report,
8,Spring Season,Sat,2019-05-11,15:30,Valour FC,1–0,HFX Wanderers,5763,Alumni Field,David Barrie,Match Report,
9,Spring Season,Sun,2019-05-12,11:00,Forge FC,1–2,Cavalry FC,5912,Clarke Stadium,Carol-Anne Chenard,Match Report,
10,Spring Season,Sun,2019-05-12,13:30,FC Edmonton,0–0,Pacific FC,4238,Clarke Stadium,Dave Gantar,Match Report,
11,Spring Season,Thu,2019-05-16,19:00,Valour FC,0–2,Forge FC,4731,IG Field,Silviu Petrescu,Match Report,
12,Spring Season,Sat,2019-05-18,14:30,Pacific FC,2–2,York9 FC,2661,Westhills Stadium,Pierre-Luc Lauziere,Match Report,
13,Spring Season,Sat,2019-05-18,16:00,Cavalry FC,1–0,FC Edmonton,4000,Spruce Meadows,Absalon Castellanos,Match Report,
14,Spring Season,Sat,2019-05-25,16:00,York9 FC,0–2,Forge FC,4260,York Lions Stadium,Yusri Rudolf,Match Report,
