Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
First stage,,Thu,2020-08-13,21:00 (20:00),Forge FC,2–2,Cavalry FC,,UPEI Artificial Turf Field,Yusri Rudolf,Match Report,
First stage,,Sat,2020-08-15,12:00,York9 FC,2–2,Atlético Ottawa,,UPEI Artificial Turf Field,Mathieu Souaré,Match Report,
First stage,,Sat,2020-08-15,16:00 (15:00),HFX Wanderers,2–2,Pacific FC,,UPEI Artificial Turf Field,Myriam Marcotte,Match Report,
First stage,,Sun,2020-08-16,11:00 (12:00),Valour FC,0–2,Cavalry FC,,UPEI Artificial Turf Field,Juan Marquez,Match Report,
First stage,,Sun,2020-08-16,15:00,Forge FC,2–0,FC Edmonton,,UPEI Artificial Turf Field,Carly Shaw-MacLaren,Match Report,
First stage,,Wed,2020-08-19,13:00,Atlético Ottawa,0–4,Valour FC,,UPEI Artificial Turf Field,Filip Dujic,Match Report,
First stage,,Tue,2020-08-18,21:00 (20:00),Pacific FC,1–1,York9 FC,,UPEI Artificial Turf Field,Pierre-Luc Lauziere,Match Report,
First stage,,Wed,2020-08-19,21:00 (20:00),HFX Wanderers,1–1,Forge FC,,UPEI Artificial Turf Field,David Barrie,Match Report,
First stage,,Thu,2020-08-20,21:00 (20:00),FC Edmonton,0–2,Cavalry FC,,UPEI Artificial Turf Field,Yusri Rudolf,Match Report,
First stage,,Sat,2020-08-22,13:00,York9 FC,0–0,Valour FC,,UPEI Artificial Turf Field,Carly Shaw-MacLaren,Match Report,
First stage,,Sat,2020-08-22,16:00,Forge FC,2–1,Pacific FC,,UPEI Artificial Turf Field,Mathieu Souaré,Match Report,
First stage,,Sun,2020-08-23,13:00,Atlético Ottawa,2–2,FC Edmonton,,UPEI Artificial Turf Field,Myriam Marcotte,Match Report,
First stage,,Sun,2020-08-23,21:00 (20:00),Cavalry FC,2–1,HFX Wanderers,,UPEI Artificial Turf Field,Pierre-Luc Lauziere,Match Report,
First stage,,Wed,2020-08-26,13:00,York9 FC,3–2,Forge FC,,UPEI Artificial Turf Field,Juan Marquez,Match Report,
First stage,,Tue,2020-08-25,21:00 (20:00),Pacific FC,2–0,Valour FC,,UPEI Artificial Turf Field,David Barrie,Match Report,
First stage,,Thu,2020-08-27,15:00,Atlético Ottawa,2–0,Cavalry FC,,UPEI Artificial Turf Field,Myriam Marcotte,Match Report,
First stage,,Wed,2020-08-26,21:00 (20:00),FC Edmonton,1–3,HFX Wanderers,,UPEI Artificial Turf Field,Filip Dujic,Match Report,
First stage,,Sat,2020-08-29,11:00 (12:00),Valour FC,2–1,FC Edmonton,,UPEI Artificial Turf Field,Pierre-Luc Lauziere,Match Report,
First stage,,Sat,2020-08-29,16:00 (15:00),HFX Wanderers,1–1,York9 FC,,UPEI Artificial Turf Field,David Barrie,Match Report,
First stage,,Sun,2020-08-30,10:00 (12:00),Cavalry FC,1–2,Pacific FC,,UPEI Artificial Turf Field,Juan Marquez,Match Report,
First stage,,Sun,2020-08-30,15:00,Atlético Ottawa,0–2,Forge FC,,UPEI Artificial Turf Field,Carly Shaw-MacLaren,Match Report,
First stage,,Wed,2020-09-02,12:00 (13:00),Valour FC,0–2,HFX Wanderers,,UPEI Artificial Turf Field,Filip Dujic,Match Report,
First stage,,Tue,2020-09-01,21:00 (20:00),FC Edmonton,0–1,York9 FC,,UPEI Artificial Turf Field,Myriam Marcotte,Match Report,
First stage,,Wed,2020-09-02,21:00 (20:00),Pacific FC,0–1,Atlético Ottawa,,UPEI Artificial Turf Field,Mathieu Souaré,Match Report,
First stage,,Sat,2020-09-05,12:00,Forge FC,2–2,Valour FC,,UPEI Artificial Turf Field,Pierre-Luc Lauziere,Match Report,
First stage,,Sat,2020-09-05,13:00 (15:00),Cavalry FC,1–0,York9 FC,,UPEI Artificial Turf Field,David Barrie,Match Report,
First stage,,Sun,2020-09-06,13:00 (12:00),HFX Wanderers,2–0,Atlético Ottawa,,UPEI Artificial Turf Field,Yusri Rudolf,Match Report,
First stage,,Sun,2020-09-06,15:00,Pacific FC,2–1,FC Edmonton,,UPEI Artificial Turf Field,Juan Marquez,Match Report,
Group stage,1,Wed,2020-09-09,14:00 (13:00),HFX Wanderers,1–1,Forge FC,,UPEI Artificial Turf Field,Myriam Marcotte,Match Report,
Group stage,1,Wed,2020-09-09,21:00 (20:00),Cavalry FC,3–1,Pacific FC,,UPEI Artificial Turf Field,David Barrie,Match Report,
,,,,,,,,,,,,
Group stage,2,Sat,2020-09-12,12:00,Forge FC,2–0,Pacific FC,,UPEI Artificial Turf Field,Juan Marquez,Match Report,
Group stage,2,Sat,2020-09-12,13:00 (15:00),Cavalry FC,1–2,HFX Wanderers,,UPEI Artificial Turf Field,Mathieu Souaré,Match Report,
,,,,,,,,,,,,
Group stage,3,Tue,2020-09-15,11:00 (13:00),Cavalry FC,0–1,Forge FC,,UPEI Artificial Turf Field,Filip Dujic,Match Report,
Group stage,3,Tue,2020-09-15,21:00 (20:00),HFX Wanderers,0–5,Pacific FC,,UPEI Artificial Turf Field,Myriam Marcotte,Match Report,
,,,,,,,,,,,,
Final,,Sat,2020-09-19,15:00 (14:00),Forge FC,2–0,HFX Wanderers,,UPEI Artificial Turf Field,Juan Marquez,Match Report,
