Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,Thu,2022-04-07,19:30,York9 FC,0–1,HFX Wanderers,1802,York Lions Stadium,Yusri Rudolf,Match Report,
Regular Season,Sat,2022-04-09,15:00,Atlético Ottawa,1–0,Cavalry FC,5390,TD Place Stadium,Fabrizio Stasolla,Match Report,
Regular Season,Sun,2022-04-10,14:00 (16:00),FC Edmonton,1–1,Valour FC,670,Clarke Stadium,Filip Dujic,Match Report,
Regular Season,Sun,2022-04-10,18:00 (19:00),Pacific FC,2–1,Forge FC,4038,Starlight Stadium,Juan Marquez,Match Report,
Regular Season,Sat,2022-04-16,13:00,Atlético Ottawa,1–0,HFX Wanderers,3122,TD Place Stadium,Mathieu Souaré,Match Report,
Regular Season,Sat,2022-04-16,16:00,Forge FC,2–2,Cavalry FC,3688,Tim Hortons Field,Filip Dujic,Match Report,
Regular Season,Fri,2022-04-15,19:00 (21:00),FC Edmonton,1–1,York9 FC,600,Clarke Stadium,Juan Marquez,Match Report,
Regular Season,Sun,2022-04-17,15:00 (16:00),Pacific FC,3–2,Valour FC,2420,Starlight Stadium,Alain Ruch,Match Report,
Regular Season,Fri,2022-04-22,19:30,York9 FC,2–0,Cavalry FC,1004,York Lions Stadium,Carly Shaw-MacLaren,Match Report,
Regular Season,Sat,2022-04-23,16:00,Forge FC,3–0,FC Edmonton,3133,Tim Hortons Field,David Barrie,Match Report,
Regular Season,Sat,2022-04-23,18:00 (19:00),Pacific FC,2–1,HFX Wanderers,3042,Starlight Stadium,Juan Marquez,Match Report,
Regular Season,Sun,2022-04-24,15:00,Atlético Ottawa,1–6,Valour FC,3345,TD Place Stadium,Scott Bowman,Match Report,
Regular Season,Wed,2022-04-27,19:00 (21:00),FC Edmonton,0–0,Pacific FC,765,Clarke Stadium,Scott Bowman,Match Report,
Regular Season,Fri,2022-04-29,19:30,York9 FC,2–2,Atlético Ottawa,1043,York Lions Stadium,Filip Dujic,Match Report,
Regular Season,Sat,2022-04-30,15:00 (14:00),HFX Wanderers,3–1,FC Edmonton,6213,Wanderers Grounds,Ben Hoskins,Match Report,
