,Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
0,Regular Season,1.0,Sat,2023-04-15,13:00,Atlético Ottawa,1–1,HFX Wanderers,7039.0,TD Place Stadium,Michael Venne,Match Report,
1,Regular Season,1.0,Sat,2023-04-15,16:00,Forge FC,2–2,Cavalry FC,6892.0,Tim Hortons Field,Marie-Soleil Beaudoin,Match Report,
2,Regular Season,1.0,Sat,2023-04-15,18:00,Pacific FC,1–0,Vancouver FC,4825.0,Starlight Stadium,Alain Ruch,Match Report,
3,Regular Season,1.0,Sun,2023-04-16,14:00,York9 FC,0–2,Valour FC,1607.0,York Lions Stadium,Renzo Villanueva,Match Report,
4,,,,,,,,,,,,,
5,Regular Season,2.0,Sat,2023-04-22,13:00,York9 FC,1–2,Vancouver FC,822.0,York Lions Stadium,Ben Hoskins,Match Report,
6,Regular Season,2.0,Sat,2023-04-22,16:00,Forge FC,1–1,HFX Wanderers,3827.0,Tim Hortons Field,Fabrizio Stasolla,Match Report,
7,Regular Season,2.0,Sat,2023-04-22,18:00,Valour FC,1–1,Atlético Ottawa,3374.0,IG Field,Marie-Soleil Beaudoin,Match Report,
8,Regular Season,2.0,Sun,2023-04-23,15:00,Pacific FC,1–1,Cavalry FC,2455.0,Starlight Stadium,Yusri Rudolf,Match Report,
9,,,,,,,,,,,,,
10,Regular Season,3.0,Sat,2023-04-29,15:00,HFX Wanderers,1–1,Vancouver FC,6413.0,Wanderers Grounds,Marie-Soleil Beaudoin,Match Report,
11,Regular Season,3.0,Sat,2023-04-29,17:00,Atlético Ottawa,0–1,York9 FC,3074.0,TD Place Stadium,Mathieu Souaré,Match Report,
12,Regular Season,3.0,Sun,2023-04-30,15:00,Cavalry FC,1–1,Valour FC,4566.0,ATCO Field,Ben Hoskins,Match Report,
13,Regular Season,3.0,Sun,2023-04-30,19:00,Pacific FC,0–1,Forge FC,3378.0,Starlight Stadium,Renzo Villanueva,Match Report,
14,,,,,,,,,,,,,
15,Regular Season,4.0,Fri,2023-05-05,19:30,York9 FC,0–1,Forge FC,1016.0,York Lions Stadium,Myriam Marcotte,Match Report,
16,Regular Season,4.0,Sat,2023-05-06,15:00,Valour FC,0–0,HFX Wanderers,2665.0,IG Field,Carly Shaw-MacLaren,Match Report,
17,Regular Season,4.0,Sat,2023-05-06,19:00,Atlético Ottawa,1–4,Pacific FC,3499.0,TD Place Stadium,Fabrizio Stasolla,Match Report,
18,Regular Season,4.0,Sun,2023-05-07,16:00,Vancouver FC,1–1,Cavalry FC,6177.0,Willoughby Community Park Stadium,Alain Ruch,Match Report,
19,,,,,,,,,,,,,
20,Regular Season,5.0,Sat,2023-05-13,16:00,Forge FC,3–2,Valour FC,4807.0,Tim Hortons Field,David Barrie,Match Report,
21,Regular Season,5.0,Sat,2023-05-13,17:00,Cavalry FC,2–2,HFX Wanderers,3546.0,ATCO Field,Fabrizio Stasolla,Match Report,
22,Regular Season,5.0,Sun,2023-05-14,17:00,Pacific FC,4–1,York9 FC,3027.0,Starlight Stadium,Scott Bowman,Match Report,
23,Regular Season,5.0,Sat,2023-05-13,18:30,Vancouver FC,0–5,Atlético Ottawa,2800.0,Willoughby Community Park Stadium,Carly Shaw-MacLaren,Match Report,
24,,,,,,,,,,,,,
